name,total,min,max,median
"Тичина_Павло_Григорович",17883,80,1142,668.0
"Тютюнник_Григір_Михайлович",15287,45,1037,445.0
"Гончар_Олесь_Терентійович",13273,38,893,431.0
"Сковорода_Григорій_Савич",11629,136,707,368.0
"Харків",9415,168,479,296.0
"Довженко_Олександр_Петрович",9289,58,557,318.0
MARUV,8724,143,569,270.0
"Комаровський_Євген_Олегович",8296,27,2731,66.0
"Микола_Хвильовий",7986,87,584,279.0
"Іван_Сірко",7351,92,411,215.0
"Ляшко_Олег_Валерійович",6495,98,744,167.0
"Лисенко_Микола_Віталійович",5923,39,363,215.0
"Аваков_Арсен_Борисович",5698,72,334,189.0
"Остап_Вишня",5664,58,328,168.0
"Українська_народна_партія_(1902)",5412,15,338,181.0
"Іван_Багряний",4090,50,219,128.0
"Мина_Мазайло",3983,54,197,142.0
"Жадан_Сергій_Вікторович",3898,58,228,109.0
"Тютюнник_Григорій_Михайлович",3708,15,279,106.0
"Мураєв_Євгеній_Володимирович",3337,47,178,104.0
"Кива_Ілля_Володимирович",3326,38,361,82.0
"Костомаров_Микола_Іванович",3251,27,198,103.0
"Бабкін_Сергій_Миколайович",3245,41,483,66.0
"Лесь_Курбас",3236,30,187,90.0
"Підмогильний_Валер'ян_Петрович",3118,18,188,102.0
"Білецький_Андрій_Євгенійович",3110,23,300,82.0
"Чикаленко_Євген_Харламович",3099,21,188,95.0
"Рабінович_Вадим_Зіновійович",3022,37,279,93.0
"Братство_тарасівців",3005,25,199,104.0
"Грінченко_Борис_Дмитрович",3001,29,180,100.0
"Клочкова_Яна_Олександрівна",2957,8,171,114.0
"Яновський_Юрій_Іванович",2949,20,159,105.0
"Квітка-Основ'яненко_Григорій_Федорович",2917,40,153,101.0
"Мечников_Ілля_Ілліч",2808,31,154,82.0
"Геращенко_Антон_Юрійович",2794,29,198,87.0
"Сосюра_Володимир_Миколайович",2791,45,139,88.0
"Яворницький_Дмитро_Іванович",2618,12,144,88.0
"Юзеф_Пілсудський",2596,29,183,74.0
"Полторак_Степан_Тимофійович",2583,30,188,81.0
"Пам'ятник_Тарасові_Шевченку_(Харків)",2553,9,164,91.0
"Сніжана_Бабкіна",2494,28,368,64.0
"Биков_Леонід_Федорович",2447,33,353,56.0
"Онищенко_Олександр_Романович",2440,19,355,65.0
"Харківський_національний_університет_імені_В._Н._Каразіна",2405,25,161,73.0
"Шелест_Петро_Юхимович",2393,23,123,78.0
"Богословська_Інна_Германівна",2366,9,228,58.0
"Дідік_Данило_Андрійович",2353,1,1105,14.0
"Кирющенко_Олексій_Адольфович",2272,11,213,48.0
"Кернес_Геннадій_Адольфович",2268,38,161,63.0
"Курченко_Сергій_Віталійович",2239,30,231,67.0
"Гвоздик_Олександр_Сергійович",2213,18,352,39.0
"Писаренко_Валерій_Володимирович",2187,3,905,13.0
"Трублаїні_Микола_Петрович",1971,8,205,38.0
"Кацуба_Олександр_Володимирович",1851,0,635,8.0
"Васильківський_Сергій_Іванович",1789,13,110,58.0
"Березіль",1774,11,117,57.0
"Володимир_Дантес",1756,32,108,54.0
"Добкін_Михайло_Маркович",1734,24,109,53.0
"Кропивницький_Марко_Лукич",1698,22,97,56.0
"Стець_Юрій_Ярославович",1664,21,167,46.0
"Черновецький_Леонід_Михайлович",1644,24,91,52.0
"Наливайченко_Валентин_Олександрович",1636,13,273,42.0
"Червона_Яна_Михайлівна",1633,7,366,27.0
"Т-64",1625,33,75,53.0
"Сокуренко_Валерій_Васильович",1581,0,589,5.5
"Харківський_метрополітен",1528,32,80,47.0
"БТР-4",1495,29,91,46.0
"Хомутиннік_Віталій_Юрійович",1451,14,179,39.0
"Федецький_Артем_Андрійович",1433,12,248,30.0
"Історія_Харкова",1432,8,86,42.0
"Перша_столиця_України",1423,23,65,44.0
"Ложкін_Борис_Євгенович",1377,17,170,37.0
"Михайль_Семенко",1360,10,95,47.0
"Ведель_Артем_Лук'янович",1341,10,84,42.0
"Аласанія_Зурабі_Григорович",1339,3,227,23.0
"Танок_на_майдані_Конґо",1320,15,149,33.0
"Всеукраїнський_з'їзд_рад_(Харків)",1252,4,106,37.0
"Кірпа_Георгій_Миколайович",1240,18,60,39.0
"Т-84У_«Оплот»",1221,20,280,31.0
"Німченко_Василь_Іванович",1207,2,181,14.0
"Харківський_тракторний_завод",1182,20,68,36.0
"Світоліна_Еліна_Михайлівна",1139,15,75,34.0
"Поводир_(фільм,_2013)",1134,15,55,37.0
"Гулак-Артемовський_Петро_Петрович",1132,12,63,34.0
"Алчевська_Христина_Данилівна",1131,3,110,29.0
"Світличний_Іван_Олексійович",1120,13,95,35.0
"Бондар_Віктор_Васильович",1097,12,112,31.0
"Полонська-Василенко_Наталія_Дмитрівна",1094,6,89,28.0
"Бажан_Микола_Платонович",1058,10,258,27.0
"Кірш_Олександр_Вікторович",1029,5,116,18.0
"Карасьов_Вадим_Юрійович",962,4,85,26.0
"Держпром",960,13,65,30.0
"Фукс_Павло_Якович",955,4,315,19.0
"Марко_Девич",952,5,204,14.0
"Екологічна_ситуація_в_Харкові",949,7,72,26.0
"Кривенко_Віктор_Миколайович",929,6,102,24.0
"Деркач_Борис_Юрійович",927,0,194,5.0
"Металіст_(Харків)",897,14,52,28.0
"Другий_апеляційний_адміністративний_суд",891,2,60,31.0
"Т-25_(трактор)",871,14,46,28.0
"Шокін_Віктор_Миколайович",859,11,53,26.0
"Івашко_Володимир_Антонович",841,15,50,28.0
"Шевельов_Юрій_Володимирович",838,12,68,24.0
"Світлична_Юлія_Олександрівна",833,12,63,24.0
"Металіст_1925",829,9,59,21.0
"Демчина_Павло_Володимирович",824,5,106,18.0
"Косинка_Григорій_Михайлович",813,5,68,24.0
"Ситник_Артем_Сергійович",813,9,101,22.0
"Ландау_Лев_Давидович",799,13,45,26.0
"Покровський_собор_(Харків)",794,5,64,25.0
"Гапчинська_Євгенія_Геннадіївна",768,12,40,25.0
"БТР-3",758,12,45,23.0
"Пам'ятники_Харкова",757,2,55,18.0
"Потебня_Олександр_Опанасович",746,7,48,25.0
"Кириченко_Раїса_Опанасівна",736,12,50,20.0
"Список_вулиць_Харкова_(А)",728,2,43,24.0
"Левитський_Микола_Васильович",722,2,56,23.0
5'nizza,719,9,50,22.0
"Хоткевич_Гнат_Мартинович",709,10,44,22.0
"Національний_юридичний_університет_імені_Ярослава_Мудрого",698,6,51,23.0
"Степовий_Яків_Степанович",694,4,43,21.0
"Пшонка_Віктор_Павлович",682,7,43,21.0
"Гурченко_Людмила_Марківна",679,9,67,20.0
"Райони_Харкова",679,4,44,21.0
"Багалій_Дмитро_Іванович",675,5,46,22.0
"Ярославський_Олександр_Владиленович",664,7,42,21.0
"Т-84-120_«Ятаган»",651,8,64,20.0
"Михайлюта_Олег_Ігорович",641,8,94,17.0
"Копиленко_Олександр_Іванович",631,0,69,14.0
"Павелко_Андрій_Васильович",624,2,58,19.0
"Олійник_Володимир_Миколайович",620,3,71,17.0
"Т-150К_(трактор)",609,4,43,21.0
"Голомша_Микола_Ярославович",607,3,73,16.0
"Веракса_Максим_Олександрович",603,1,67,13.0
"Парк_імені_Максима_Горького_(Харків)",595,6,51,18.0
"Майк_Йогансен",593,3,41,20.0
"Україна_(велосипед)",592,8,63,18.0
"Ромеро_Бонфим_Марлос",592,8,85,15.0
"Остроградський_Михайло_Васильович",592,5,45,18.0
"Харківський_ботанічний_сад",591,3,55,18.0
"Іваненко_Оксана_Дмитрівна",591,0,62,15.0
"Шахов_Сергій_Володимирович",586,2,52,18.0
"Яровий_Сергій_Анатолійович",585,6,54,13.0
"Завод_імені_В._О._Малишева",580,7,33,18.0
"Севідов_Олександр_Володимирович",578,1,289,5.0
"Забіла_Наталя_Львівна",575,5,44,17.0
"Маркевич_Мирон_Богданович",575,6,60,16.0
"Металіст_(стадіон)",574,6,124,14.0
"Вірський_Павло_Павлович",570,4,41,19.0
"Мисливські_усмішки",569,4,51,15.0
"Сидоренко_Олександр_Аркадійович",567,3,67,13.0
"Бєлоусов_Євген_Вікторович",564,7,33,16.0
"Шевчук_Станіслав_Володимирович",559,3,84,13.0
"Волобуєв_Михайло_Симонович",555,2,36,15.0
"Населення_Харкова",549,7,40,17.0
"Харківська_міська_рада",547,2,37,18.0
"Косач_Михайло_Петрович",535,2,54,14.0
"Міжнародний_аеропорт_«Харків»",526,6,27,17.0
"Майдан_Свободи_(Харків)",525,5,32,15.0
"Райнін_Ігор_Львович",518,6,33,15.0
"Мікац_Олег_Михайлович",516,6,32,16.0
"Лавринович_Олександр_Володимирович",516,3,70,12.0
"Кушнарьов_Євген_Петрович",515,5,34,15.0
"Антонович_Дмитро_Володимирович",513,4,33,19.0
"Тимченко_Йосип_Андрійович",512,1,42,17.0
"Кузьмук_Олександр_Іванович",500,1,29,15.0
"Дозор-Б",497,7,28,16.0
"Т-80УД",495,8,27,15.0
"Турбоатом",492,4,36,16.0
"Військовий_інститут_танкових_військ_НТУ_«ХПІ»",485,3,33,15.0
"Харківський_національний_університет_повітряних_сил_імені_Івана_Кожедуба",484,7,31,15.0
"Свято-Благовіщенський_кафедральний_собор_(Харків)",483,2,93,12.0
"Ніколюк_Віктор_Дмитрович",483,5,33,16.0
"Бурмака_Марія_Вікторівна",480,5,28,13.0
"Чечетов_Михайло_Васильович",479,3,27,15.0
"Харківське_державне_авіаційне_виробниче_підприємство",475,5,27,14.0
"Дзеркальний_струмінь",472,2,38,15.0
"Богатирьова_Раїса_Василівна",465,8,23,15.0
"Алчевська_Христина_Олексіївна",460,2,49,11.0
"Франко_Петро_Іванович",459,2,33,15.0
"Алчевський_Олексій_Кирилович",459,2,178,7.0
"Національний_технічний_університет_«Харківський_політехнічний_інститут»",459,6,27,14.0
"Німецька_окупація_Харкова",458,1,31,14.0
"Тайсон_Барселлос_Фреда",453,4,77,13.0
"Бекетов_Микола_Миколайович",449,2,42,11.5
"Список_станцій_Харківського_метрополітену",448,5,38,13.0
"Півоваренко_Павло_Васильович",448,5,26,13.0
"Фельдман_Олександр_Борисович",446,3,27,14.0
"Бекетов_Олексій_Миколайович",444,6,46,13.0
"III_Всеукраїнський_з'їзд_Рад",440,2,36,13.0
"Білецький_Володимир_Стефанович",440,4,30,13.0
"Перенесення_столиці_УСРР_з_Харкова_до_Києва",439,0,32,14.0
"Дар'я_Кобякова",439,5,29,13.0
"Антоненко-Давидович_Борис_Дмитрович",434,4,29,13.0
"Бублик_Юрій_Васильович",430,1,84,11.0
"Пилипишин_Віктор_Петрович",429,5,25,13.0
"Семенюк-Самсоненко_Валентина_Петрівна",423,4,32,13.0
"Рудницький_Степан_Львович",423,1,36,12.0
"Папа_Гує",421,2,49,11.0
"Транспорт_Харкова",420,0,51,12.0
"Сенченко_Іван_Юхимович",416,0,39,13.0
"Петренко_Михайло_Миколайович",409,4,30,12.0
DCH,405,4,30,12.0
"Бурачек_Микола_Григорович",403,1,189,6.0
"Харківська_губернія",401,4,23,13.0
"Смолич_Юрій_Корнійович",396,2,36,9.0
"Рахманін_Сергій_Іванович",396,3,39,11.0
"Фесенко_Володимир_В'ячеславович",394,2,30,12.0
"Харків_(річка)",394,2,31,10.0
"Ракло",391,4,36,13.0
"Атрошенко_Владислав_Анатолійович",390,4,25,13.0
"Добкін_Дмитро_Маркович",389,0,22,12.0
"Барабашов_Микола_Павлович",388,1,182,6.0
"Депеш_Мод",381,1,26,12.0
"Колесніченко_Вадим_Васильович",380,4,66,10.0
"Люди,_пов'язані_з_Харковом",376,2,32,11.0
"Уда_(річка)",372,0,27,11.0
"Заваров_Олександр_Анатолійович",372,3,56,10.0
"Жаботинський_Леонід_Іванович",372,2,26,12.0
"Харківський_велосипедний_завод",371,4,33,12.0
"Герб_Харкова",370,0,30,10.0
"Пам'ятник_засновникам_Харкова",369,1,34,12.0
"Свято-Успенський_собор_(Харків)",368,5,31,11.5
"Клуб_сімейного_дозвілля",367,6,19,11.0
"Харківська_школа_романтиків",366,0,31,13.0
"Харків-Пасажирський",363,5,24,11.0
"Харківський_національний_академічний_театр_опери_та_балету_імені_Миколи_Лисенка",360,2,25,10.0
"Т-16_(трактор)",358,4,21,11.0
"Харківський_колегіум",358,2,25,11.0
"Палладін_Олександр_Володимирович",357,2,26,11.0
"Гриньов_Володимир_Борисович",349,1,41,8.0
"Національна_академія_Національної_гвардії_України",349,3,36,10.0
"Чубарева_Ольга_Олексіївна",346,0,75,4.0
"Природно-заповідний_фонд_Харкова",346,1,41,9.0
"Слово_(будинок)",344,5,22,11.0
"Мартиненко_Микола_Володимирович",343,1,31,9.0
"Барабашово",341,5,21,10.0
"Денисенко_Анатолій_Петрович",339,2,43,9.0
"Автошлях_М_03",338,2,26,9.0
"Теракт_під_час_Маршу_єдності_в_Харкові_(2015)",337,0,97,6.5
"Шишкова_Оксана_Валеріївна",333,1,31,7.0
"Пилипенко_Сергій_Володимирович",329,0,188,4.0
"3-тя_бригада_оперативного_призначення_НГ_(Україна)",327,4,23,10.0
"Іоано-Богословський_храм_(Харків)",327,0,73,6.5
"Сухомлин_Сергій_Іванович",326,2,30,10.0
"Шалімов_Олександр_Олексійович",325,1,21,10.0
"Харківський_національний_університет_внутрішніх_справ",325,3,37,11.0
"Ужвій_Наталія_Михайлівна",324,4,23,10.0
"Федецький_Альфред_Костянтинович",322,0,29,9.0
"Боровиковський_Левко_Іванович",321,2,19,11.0
"Сад_імені_Тараса_Шевченка_(Харків)",320,1,70,8.0
"Національний_аерокосмічний_університет_імені_М._Є._Жуковського_«Харківський_авіаційний_інститут»",320,2,23,9.0
"Фатєєва_Наталя_Миколаївна",318,3,44,6.0
"Т-012_(трактор)",314,4,22,10.0
"Богуслаєв_Вячеслав_Олександрович",312,1,23,9.0
"Всесвіт_(журнал)",311,1,17,10.0
"Аваков_Олександр_Арсенович",309,3,44,10.0
"Петренко_Олег_Миколайович",306,1,26,10.0
"Міщенко_Сергій_Григорович",305,1,119,5.0
"Паламарчук_Микола_Петрович",304,2,20,10.0
"Окремий_загін_розвідки_спеціального_призначення_«Арес»",304,4,17,10.0
"Національний_університет_цивільного_захисту_України",304,2,19,9.0
"Турист_(велосипед)",304,1,32,9.0
"Мірошниченко_Євгенія_Семенівна",303,1,22,10.0
"Василь_Еллан-Блакитний",302,2,23,10.0
"Лопань_(притока_Уди)",301,1,42,9.0
"Касьян_Микола_Андрійович",301,1,31,7.0
"Яловий_Михайло_Омелянович",299,3,23,9.0
"Харківський_національний_університет_радіоелектроніки",299,2,19,10.0
"Сумська_вулиця_(Харків)",298,2,23,8.0
"Проросійські_виступи_у_Харкові_(2014)",296,2,29,10.0
"Харківський_національний_педагогічний_університет_імені_Григорія_Сковороди",295,2,21,9.0
"Бушуєв_Костянтин_Володимирович",294,1,69,5.0
"Гутцайт_Оксана_Петрівна",293,2,40,7.0
"Жадан_і_Собаки",293,4,24,9.0
"Ранок_(видавництво,_Харків)",293,0,24,8.0
"Шевченківський_район_(Харків)",292,1,23,10.0
"Туган-Барановський_Михайло_Іванович",290,3,17,8.0
"Техноком",290,2,18,9.0
"Торохтій_Олексій_Павлович",290,0,45,4.0
"Харківська_медична_академія_післядипломної_освіти_МОЗ_України",286,1,19,9.0
"Список_вулиць_Харкова_(К)",286,0,24,10.0
"Саймон_Кузнець",285,1,87,5.0
"Українська_академія_друкарства",284,1,29,9.0
"Бойко_Віктор_Степанович",284,1,28,6.5
"Вімм-Білль-Данн_Україна",284,2,18,9.0
