"number","title","pageid","namespace","length","touched"
"1","Високович_Володимир_Костянтинович","619","","12222","20191006204811"
"2","Довгаль_Олександр_Михайлович","632","","6160","20200414205756"
"3","Іван_Багряний","706","","45420","20200328165206"
"4","Микола_Хвильовий","1066","","55190","20200507114442"
"5","Гончар_Олесь_Терентійович","3193","","53535","20200423063003"
"6","Остап_Вишня","3194","","33692","20200428104427"
"7","Грінченко_Борис_Дмитрович","3196","","58807","20200507203834"
"8","Донченко_Олесь_Васильович","3606","","8499","20200214224655"
"9","Гулак-Артемовський_Петро_Петрович","3609","","14619","20200219102636"
"10","Микитенко_Іван_Кіндратович","3613","","27277","20200212132804"
"11","Яновський_Юрій_Іванович","3618","","33182","20200501101754"
"12","Сенченко_Іван_Юхимович","3662","","35928","20200416134333"
"13","Василь_Еллан-Блакитний","3670","","26034","20200326082044"
"14","Довженко_Олександр_Петрович","3673","","124482","20200506224235"
"15","Тичина_Павло_Григорович","3679","","83792","20200513193034"
"16","Антоненко-Давидович_Борис_Дмитрович","3683","","35728","20200326082648"
"17","Сковорода_Григорій_Савич","3693","","143397","20200511202149"
"18","Сосюра_Володимир_Миколайович","3752","","56066","20200511082959"
"19","Квітка-Основ'яненко_Григорій_Федорович","3754","","57948","20200507221916"
"20","Тютюнник_Григорій_Михайлович","3756","","12290","20200427141306"
"21","Бажан_Микола_Платонович","3758","","50683","20200507204126"
"22","Костомаров_Микола_Іванович","3761","","94768","20200507201653"
"23","Авер'янов_Георгій_Борисович","5743","","5939","20200217171718"
"24","Азрікан_Арнольд_Григорович","5749","","12049","20200505122442"
"25","Головко_Андрій_Васильович","6091","","19252","20200421081139"
"26","Алчевський_Григорій_Олексійович","6098","","4338","20191227215731"
"27","Алчевська_Христина_Данилівна","6100","","11065","20200403201547"
"28","Алчевський_Іван_Олексійович","6101","","13347","20191227215744"
"29","Алчевський_Олексій_Кирилович","6102","","16395","20191227215750"
"30","Альошин_Павло_Федотович","6120","","34128","20200511194703"
